plate,slot,sample_id,material,region,date,pct_change
30,1,Y-30-1,SmCo35,South Linac,2025-10-21,-0.0885
30,1,Y-30-1,SmCo35,South Linac,2026-01-12,-0.0875
30,2,Y-30-2,N42EH,South Linac,2025-07-30,-0.3911
30,2,Y-30-2,N42EH,South Linac,2025-08-27,-0.4551
30,2,Y-30-2,N42EH,South Linac,2025-10-21,-0.3407
30,2,Y-30-2,N42EH,South Linac,2026-01-12,-0.3302
30,3,Y-30-3,SmCo33H,South Linac,2025-07-30,0.0309
30,3,Y-30-3,SmCo33H,South Linac,2025-08-27,0.1477
30,3,Y-30-3,SmCo33H,South Linac,2025-10-21,-0.0841
30,3,Y-30-3,SmCo33H,South Linac,2026-01-12,-0.2338
30,4,Y-30-4,N52SH,South Linac,2025-07-30,-0.2424
30,4,Y-30-4,N52SH,South Linac,2025-08-27,-0.364
30,4,Y-30-4,N52SH,South Linac,2025-10-21,-0.285
30,4,Y-30-4,N52SH,South Linac,2026-01-12,-0.2672
32,1,Y-32-1,N52SH,SW Arc,2025-07-30,-0.5461
32,1,Y-32-1,N52SH,SW Arc,2025-08-27,-0.2372
32,1,Y-32-1,N52SH,SW Arc,2025-10-29,-0.2102
32,1,Y-32-1,N52SH,SW Arc,2026-01-12,-0.4159
32,2,Y-32-2,SmCo35,SW Arc,2025-07-30,-0.1351
32,2,Y-32-2,SmCo35,SW Arc,2025-08-27,-0.014
32,2,Y-32-2,SmCo35,SW Arc,2025-10-29,-0.0352
32,2,Y-32-2,SmCo35,SW Arc,2026-01-12,-0.2235
32,3,Y-32-3,N42EH,SW Arc,2025-07-30,-0.3695
32,3,Y-32-3,N42EH,SW Arc,2025-07-30,-10.9112
32,3,Y-32-3,N42EH,SW Arc,2025-08-27,-0.3478
32,3,Y-32-3,N42EH,SW Arc,2025-10-29,-0.2722
32,3,Y-32-3,N42EH,SW Arc,2026-01-12,-0.455
32,4,Y-32-4,SmCo33H,SW Arc,2025-08-27,-0.0349
32,4,Y-32-4,SmCo33H,SW Arc,2025-10-29,0.0115
32,4,Y-32-4,SmCo33H,SW Arc,2026-01-12,-0.005
34,1,Y-34-1,SmCo35,NW Arc,2025-07-17,-1.1489
34,1,Y-34-1,SmCo35,NW Arc,2025-08-27,-0.1585
34,1,Y-34-1,SmCo35,NW Arc,2025-10-23,-0.1623
34,1,Y-34-1,SmCo35,NW Arc,2026-01-08,-0.0196
34,2,Y-34-2,N42EH,NW Arc,2025-07-17,-1.4259
34,2,Y-34-2,N42EH,NW Arc,2025-08-27,-0.8414
34,2,Y-34-2,N42EH,NW Arc,2025-10-23,-0.4351
34,2,Y-34-2,N42EH,NW Arc,2026-01-08,-0.2082
34,3,Y-34-3,SmCo33H,NW Arc,2025-07-17,-0.8703
34,3,Y-34-3,SmCo33H,NW Arc,2025-08-27,0.0201
34,3,Y-34-3,SmCo33H,NW Arc,2025-10-23,-0.1169
34,3,Y-34-3,SmCo33H,NW Arc,2026-01-08,-0.0481
34,4,Y-34-4,N52SH,NW Arc,2025-07-17,10.119
34,4,Y-34-4,N52SH,NW Arc,2025-08-27,10.7291
34,4,Y-34-4,N52SH,NW Arc,2025-10-23,10.9113
34,4,Y-34-4,N52SH,NW Arc,2026-01-08,11.2819
36,1,Y-36-1,N52SH,NW Arc,2025-07-17,-0.9903
36,1,Y-36-1,N52SH,NW Arc,2025-08-27,-0.5036
36,1,Y-36-1,N52SH,NW Arc,2025-10-23,-0.3862
36,1,Y-36-1,N52SH,NW Arc,2026-01-08,-0.1962
36,2,Y-36-2,SmCo35,NW Arc,2025-07-17,-0.8265
36,2,Y-36-2,SmCo35,NW Arc,2025-08-27,-0.3334
36,2,Y-36-2,SmCo35,NW Arc,2025-10-23,-0.1084
36,2,Y-36-2,SmCo35,NW Arc,2026-01-08,-0.0634
36,3,Y-36-3,N42EH,NW Arc,2025-07-17,-1.21
36,3,Y-36-3,N42EH,NW Arc,2025-08-27,-0.5417
36,3,Y-36-3,N42EH,NW Arc,2025-10-23,-0.3202
36,3,Y-36-3,N42EH,NW Arc,2026-01-08,-0.2166
36,4,Y-36-4,SmCo33H,NW Arc,2025-07-17,-0.6879
36,4,Y-36-4,SmCo33H,NW Arc,2025-08-27,-0.1091
36,4,Y-36-4,SmCo33H,NW Arc,2025-10-23,0.15
36,4,Y-36-4,SmCo33H,NW Arc,2026-01-08,0.2305
38,1,Y-38-1,SmCo35,NW Arc,2025-07-17,-0.8106
38,1,Y-38-1,SmCo35,NW Arc,2025-08-27,-0.1405
38,1,Y-38-1,SmCo35,NW Arc,2025-10-23,-0.168
38,1,Y-38-1,SmCo35,NW Arc,2026-01-08,-0.0216
38,2,Y-38-2,N42EH,NW Arc,2025-07-17,-1.2075
38,2,Y-38-2,N42EH,NW Arc,2025-08-27,-0.4418
38,2,Y-38-2,N42EH,NW Arc,2025-10-23,-0.5123
38,2,Y-38-2,N42EH,NW Arc,2026-01-08,-0.3485
38,3,Y-38-3,SmCo33H,NW Arc,2025-07-17,-0.6465
38,3,Y-38-3,SmCo33H,NW Arc,2025-08-27,0.2646
38,3,Y-38-3,SmCo33H,NW Arc,2025-10-23,0.2201
38,3,Y-38-3,SmCo33H,NW Arc,2026-01-08,0.2929
38,4,Y-38-4,N52SH,NW Arc,2025-07-17,-1.3229
38,4,Y-38-4,N52SH,NW Arc,2025-08-27,-0.4802
38,4,Y-38-4,N52SH,NW Arc,2025-10-23,-0.593
38,4,Y-38-4,N52SH,NW Arc,2026-01-08,-0.3997
39,1,Y-39-1,N42EH,NE Arc,2025-07-17,-1.1038
39,1,Y-39-1,N42EH,NE Arc,2025-08-27,-0.6005
39,1,Y-39-1,N42EH,NE Arc,2025-10-23,-0.9069
39,1,Y-39-1,N42EH,NE Arc,2026-01-08,-0.8218
39,2,Y-39-2,SmCo33H,NE Arc,2025-07-17,-0.0122
39,2,Y-39-2,SmCo33H,NE Arc,2025-08-27,0.4771
39,2,Y-39-2,SmCo33H,NE Arc,2025-10-23,0.3578
39,2,Y-39-2,SmCo33H,NE Arc,2026-01-08,0.4216
39,3,Y-39-3,N52SH,NE Arc,2025-07-17,-0.9179
39,3,Y-39-3,N52SH,NE Arc,2025-08-27,-0.4087
39,3,Y-39-3,N52SH,NE Arc,2025-10-23,-0.397
39,3,Y-39-3,N52SH,NE Arc,2026-01-08,-0.5429
39,4,Y-39-4,SmCo35,NE Arc,2025-07-17,-0.9501
39,4,Y-39-4,SmCo35,NE Arc,2025-08-27,-0.2955
39,4,Y-39-4,SmCo35,NE Arc,2025-10-23,-0.4029
39,4,Y-39-4,SmCo35,NE Arc,2026-01-08,-0.2986
4,1,Y-4-1,N52SH,North Linac,2025-07-17,-0.8758
4,1,Y-4-1,N52SH,North Linac,2025-08-27,-0.3032
4,1,Y-4-1,N52SH,North Linac,2025-10-21,-0.582
4,1,Y-4-1,N52SH,North Linac,2026-01-12,0.0027
4,2,Y-4-2,SmCo35,North Linac,2025-07-17,-0.521
4,2,Y-4-2,SmCo35,North Linac,2025-08-27,0.0163
4,2,Y-4-2,SmCo35,North Linac,2025-10-21,0.1267
4,2,Y-4-2,SmCo35,North Linac,2026-01-12,0.4006
